Equipo,Nombre,Probabilidad
Alavés,Antonio Blanco,90%
Alavés,Nahuel Tenaglia,95%
Alavés,Facundo Garcés,95%
Alavés,Moussa Diarra,50%
Alavés,Jonny Castro,80%
Alavés,Pablo Ibáñez,60%
Alavés,Antonio Sivera,95%
Alavés,Carlos Vicente,95%
Alavés,Carles Aleñá,70%
Alavés,Mariano Díaz,50%
Alavés,Jon Guridi,80%
Alavés,Youssef Enríquez,40%
Alavés,Ander Guevara,40%
Alavés,Toni Martinez,40%
Alavés,Calebe Gonçalves,35%
Alavés,Victor Parada,30%
Alavés,Carlos Benavidez,30%
Alavés,Abde Rebbach,10%
Alavés,Nikola Maras,5%
Alavés,Hugo Novoa,5%
Alavés,Raúl Fernández,5%
Athletic Club,Maroan Sannadi,50%
Athletic Club,Iñaki Williams,95%
Athletic Club,Nico Williams,90%
Athletic Club,Álex Berenguer,80%
Athletic Club,Íñigo Ruiz de Galarreta,80%
Athletic Club,Mikel Jauregizar,80%
Athletic Club,Aitor Paredes,50%
Athletic Club,Dani Vivian,95%
Athletic Club,Yuri Berchiche,90%
Athletic Club,Jesús Areso,70%
Athletic Club,Unai Simón,95%
Athletic Club,Gorka Guruzeta,50%
Athletic Club,Mikel Vesga,40%
Athletic Club,Robert Navarro,35%
Athletic Club,Adama Boiro,35%
Athletic Club,Andoni Gorosabel,30%
Athletic Club,Íñigo Lekue,30%
Athletic Club,Alex Padilla,5%
Athletic Club,Urko Izeta,0%
Athletic Club,Nico Serrano,0%
Athletic Club,Malcom Adu Ares,0%
Athletic Club,Unai Vencedor,0%
Athletic Club,Oihan Sancet,0%
Athletic Club,Unai Gómez,0%
Athletic Club,Beñat Prados,0%
Athletic Club,Unai Egiluz,0%
Athletic Club,Yeray Álvarez,0%
Atlético de Madrid,Thiago Almada,70%
Atlético de Madrid,Giuliano Simeone,80%
Atlético de Madrid,Julián Álvarez,90%
Atlético de Madrid,Álex Baena,90%
Atlético de Madrid,Jan Oblak,95%
Atlético de Madrid,Conor Gallagher,50%
Atlético de Madrid,Matteo Ruggeri,70%
Atlético de Madrid,Robin Le Normand,80%
Atlético de Madrid,David Hancko,70%
Atlético de Madrid,Marcos Llorente,90%
Atlético de Madrid,Koke Resurrección,50%
Atlético de Madrid,Pablo Barrios,50%
Atlético de Madrid,Johnny Cardoso,50%
Atlético de Madrid,Clément Lenglet,30%
Atlético de Madrid,Alexander Sorloth,30%
Atlético de Madrid,Antoine Griezmann,30%
Atlético de Madrid,Javi Galán,30%
Atlético de Madrid,Marc Pubill,20%
Atlético de Madrid,Giacomo Raspadori,10%
Atlético de Madrid,Nahuel Molina,10%
Atlético de Madrid,Juan Musso,5%
Atlético de Madrid,Carlos Martín,0%
Atlético de Madrid,José María Giménez,0%
Barcelona,Joan Garcia,90%
Barcelona,Raphinha,90%
Barcelona,Lamine Yamal,95%
Barcelona,Fermín López,50%
Barcelona,Frenkie de Jong,70%
Barcelona,Alejandro Balde,70%
Barcelona,Ronald Araújo,60%
Barcelona,Pau Cubarsí,80%
Barcelona,Jules Koundé,60%
Barcelona,Ferrán Torres,70%
Barcelona,Pedri González,95%
Barcelona,Dani Olmo,50%
Barcelona,Eric García,30%
Barcelona,Pablo Gavi,30%
Barcelona,Gerard Martín,30%
Barcelona,Andreas Christensen,30%
Barcelona,Marc Casadó,15%
Barcelona,Roony Bardghji,5%
Barcelona,Marc Bernal,0%
Barcelona,Héctor Fort,0%
Barcelona,Iñaki Peña,0%
Barcelona,Marcus Rashford,30%
Barcelona,Wojciech Szczesny,10%
Barcelona,Oriol Romeu,0%
Barcelona,Robert Lewandowski,0%
Barcelona,Marc-André ter Stegen,0%
Betis,Cucho Hernández,90%
Betis,Pau López,50%
Betis,Natan,90%
Betis,Junior Firpo,50%
Betis,Héctor Bellerín,50%
Betis,Marc Bartra,90%
Betis,Giovani Lo Celso,90%
Betis,Pablo García,70%
Betis,Sergi Altimira,70%
Betis,Pablo Fornals,80%
Betis,Rodrigo Riquelme,80%
Betis,Álvaro Valles,50%
Betis,Ricardo Rodriguez,50%
Betis,Aitor Ruibal,50%
Betis,Nelson Deossa,30%
Betis,Chimy Ávila,30%
Betis,Ángel Ortiz,30%
Betis,Valentín Gómez,20%
Betis,Cédric Bakambu,10%
Betis,Adrián San Miguel,0%
Betis,Isco Alarcón,0%
Betis,Abde Ezzalzouli,0%
Betis,Iker Losada,0%
Betis,Marc Roca,0%
Betis,Diego Javier Llorente,0%
Celta,Ferran Jutglà,70%
Celta,Óscar Mingueza,80%
Celta,Javi Rodríguez,60%
Celta,Carl Starfelt,70%
Celta,Marcos Alonso,90%
Celta,Sergio Carreira,60%
Celta,Ilaix Moriba,70%
Celta,Fran Beltrán,60%
Celta,Iago Aspas,70%
Celta,Hugo Álvarez,50%
Celta,Ionut Radu,70%
Celta,Yoel Lago,40%
Celta,Bryan Zaragoza,40%
Celta,Hugo Sotelo,40%
Celta,Pablo Durán,40%
Celta,Williot Swedberg,30%
Celta,Damián Rodríguez,30%
Celta,Iván Villar,30%
Celta,Mihailo Ristic,20%
Celta,Jones El-Abdellaoui,20%
Celta,Carlos Dominguez,20%
Celta,Franco Cervi,0%
Celta,Manu Fernández,0%
Celta,Joseph Aidoo,0%
Celta,Marc Vidal,0%
Celta,Javi Rueda,30%
Celta,Borja Iglesias,10%
Elche,Rodrigo Mendoza,80%
Elche,Álvaro Núñez,80%
Elche,Alvaro Rodríguez,50%
Elche,Mourad Daoudi,70%
Elche,Marc Aguado,70%
Elche,Aleix Febas,90%
Elche,Germán Valera,70%
Elche,Pedro Bigas,70%
Elche,David Affengruber,95%
Elche,Léo Pétrot,70%
Elche,Matías Dituro,90%
Elche,Josan Ferrández,50%
Elche,Jairo Izquierdo,40%
Elche,John Chetauya,30%
Elche,Adam Boayar,30%
Elche,Martim Neto,30%
Elche,Víctor Chust,20%
Elche,Alejandro Iturbe,10%
Elche,Matia Barzic,10%
Elche,Rafa Núñez,30%
Elche,Bambo Diaby,15%
Elche,Yago Santiago,0%
Espanyol,Rubén Sánchez,50%
Espanyol,Javi Puado,95%
Espanyol,Marko Dmitrovic,70%
Espanyol,Antoniu Roca,50%
Espanyol,Pol Lozano,80%
Espanyol,Edu Expósito,80%
Espanyol,Carlos Romero,90%
Espanyol,Leandro Cabrera,95%
Espanyol,Miguel Ángel Rubio,50%
Espanyol,Omar El Hilali,90%
Espanyol,Roberto Fernández,70%
Espanyol,Jofre Carreras,50%
Espanyol,Fernando Calero,50%
Espanyol,Ramón Terrats,50%
Espanyol,Kike García,40%
Espanyol,Ángel Fortuño,30%
Espanyol,Pere Milla,20%
Espanyol,Pablo Ramón,15%
Espanyol,Tyrhys Dolan,15%
Espanyol,José Salinas,10%
Espanyol,Marcos Fernández,0%
Espanyol,Rafel Bauzà,0%
Espanyol,Javier Hernández,0%
Getafe,Diego Rico,80%
Getafe,Coba Gomes,60%
Getafe,Christantus Uche,80%
Getafe,Mauro Arambarri,80%
Getafe,Luis Milla,90%
Getafe,David Soria,90%
Getafe,Davinchi,70%
Getafe,Dakonam Djené,90%
Getafe,Borja Mayoral,60%
Getafe,Juan Iglesias,80%
Getafe,Yvan Neyou,50%
Getafe,Adrián Liso,50%
Getafe,Mario Martín,50%
Getafe,Javi Muñoz,50%
Getafe,Álex Sola,10%
Getafe,Jiri Letácek,10%
Getafe,Juanmi Jiménez,30%
Getafe,Abdel Abqar,0%
Getafe,Álex Sancris,0%
Getafe,Domingos Duarte,0%
Getafe,Kiko Femenia,0%
Girona,David López,50%
Girona,Paulo Gazzaniga,95%
Girona,Ladislav Krejcí,95%
Girona,Yaser Asprilla,80%
Girona,Cristian Portu,50%
Girona,Daley Blind,90%
Girona,Yangel Herrera,95%
Girona,Viktor Tsygankov,90%
Girona,Joel Roca,60%
Girona,Jhon Solís,50%
Girona,Arnau Martínez,60%
Girona,Bojan Miovski,50%
Girona,Vitor Reis,45%
Girona,Iván Martín,45%
Girona,Thomas Lemar,40%
Girona,Hugo Rincón,40%
Girona,Alejandro Francés,20%
Girona,Axel Witsel,10%
Girona,Vladyslav Krapyvtsov,5%
Girona,Juan Carlos Martín,0%
Girona,Ricard Artero,0%
Girona,Christian Stuani,0%
Girona,Abel Ruiz,0%
Girona,Donny van de Beek,0%
Girona,Miguel Gutiérrez,0%
Levante,Oriol Rey,90%
Levante,Jeremy Toljan,50%
Levante,Unai Elgezabal,90%
Levante,Iván Romero,50%
Levante,Jorge Cabello,70%
Levante,Manu Sánchez,50%
Levante,Adrián de la Fuente,90%
Levante,Pablo Martínez,90%
Levante,Roger Brugué,80%
Levante,José Luis Morales,70%
Levante,Pablo Campos,90%
Levante,Sergio Lozano,50%
Levante,Carlos Espí,30%
Levante,Carlos Álvarez,30%
Levante,Matías Moreno,30%
Levante,Víctor Fernández,10%
Levante,Alejandro Primo,10%
Levante,Diego Pampín,50%
Levante,Víctor García,50%
Levante,Goduine Koyalipou,0%
Levante,Alan Matturro,0%
Levante,Jon Ander Olasagasti,0%
Levante,Kervin Arriaga,0%
Levante,Alfonso Pastor,0%
Mallorca,Vedat Muriqi,90%
Mallorca,Mateu Morey,70%
Mallorca,Pablo Torre,70%
Mallorca,Leo Román,70%
Mallorca,Takuma Asano,70%
Mallorca,Sergi Darder,80%
Mallorca,Manuel Morlanes,70%
Mallorca,Omar Mascarell,50%
Mallorca,Johan Mojica,80%
Mallorca,Martin Valjent,95%
Mallorca,Antonio Raíllo,95%
Mallorca,Dani Rodríguez,40%
Mallorca,Cyle Larin,30%
Mallorca,Antonio Sánchez,30%
Mallorca,Lucas Bergstrom,20%
Mallorca,Antonio Lato,20%
Mallorca,David López,20%
Mallorca,Pablo Maffeo,20%
Mallorca,Abdon Prats,10%
Mallorca,Marc Doménech,10%
Mallorca,Mateo Joseph,10%
Mallorca,Dominik Greif,10%
Mallorca,Daniel Luna,0%
Mallorca,Javi Llabrés,0%
Mallorca,Samú Costa,40%
Mallorca,Iván Cuéllar,0%
Osasuna,Valentin Rosier,90%
Osasuna,Abel Bretones,50%
Osasuna,Ante Budimir,90%
Osasuna,Moi Gómez,50%
Osasuna,Aimar Oroz,90%
Osasuna,Jon Moncayola,70%
Osasuna,Lucas Torró,80%
Osasuna,Juan Cruz,60%
Osasuna,Boyomo,90%
Osasuna,Alejandro Catena,90%
Osasuna,Sergio Herrera,90%
Osasuna,Rubén García,50%
Osasuna,Iker Muñoz,50%
Osasuna,Kike Barja,50%
Osasuna,Víctor Muñoz,40%
Osasuna,Raúl García,30%
Osasuna,Jorge Herrando,20%
Osasuna,Aitor Fernández,10%
Osasuna,Iker Benito,0%
Osasuna,Ander Yoldi,0%
Rayo Vallecano,Unai López,50%
Rayo Vallecano,Augusto Batalla,95%
Rayo Vallecano,Jorge de Frutos,80%
Rayo Vallecano,Álvaro García,70%
Rayo Vallecano,Randy Nteka,50%
Rayo Vallecano,Luiz Felipe,90%
Rayo Vallecano,Isi Palazón,80%
Rayo Vallecano,Andrei Ratiu,50%
Rayo Vallecano,Florian Lejeune,90%
Rayo Vallecano,Pathé Ciss,50%
Rayo Vallecano,Pep Chavarría,60%
Rayo Vallecano,Óscar Valentín,50%
Rayo Vallecano,Iván Balliu,50%
Rayo Vallecano,Gerard Gumbau,50%
Rayo Vallecano,Óscar Trejo,40%
Rayo Vallecano,Pedro Díaz,40%
Rayo Vallecano,Alfonso Espino,40%
Rayo Vallecano,Sergio Camello,30%
Rayo Vallecano,Pelayo Fernández,20%
Rayo Vallecano,Jozhua Vertrouwd,10%
Rayo Vallecano,Dani Cárdenas,5%
Rayo Vallecano,Fran Pérez,0%
Rayo Vallecano,Etienne Eto'o,0%
Rayo Vallecano,Abdul Mumin,0%
Real Madrid,Trent Alexander-Arnold,90%
Real Madrid,Vinicius Junior,90%
Real Madrid,Kylian Mbappé,95%
Real Madrid,Brahim Díaz,50%
Real Madrid,Arda Güler,80%
Real Madrid,Federico Valverde,90%
Real Madrid,Álvaro F. Carreras,50%
Real Madrid,Dean Huijsen,80%
Real Madrid,Aurélien Tchouaméni,70%
Real Madrid,Éder Militão,70%
Real Madrid,Thibaut Courtois,95%
Real Madrid,Fran García,50%
Real Madrid,Gonzalo García,45%
Real Madrid,Eduardo Camavinga,30%
Real Madrid,Dani Ceballos,30%
Real Madrid,Raúl Asencio,30%
Real Madrid,Daniel Carvajal,30%
Real Madrid,Rodrygo Goes,20%
Real Madrid,Andriy Lunin,5%
Real Madrid,Franco Mastantuono,0%
Real Madrid,Ferland Mendy,0%
Real Madrid,David Alaba,0%
Real Madrid,Jude Bellingham,0%
Real Madrid,Endrick,0%
Real Madrid,Antonio Rüdiger,0%
Real Oviedo,Nacho Vidal,90%
Real Oviedo,Oier Luengo,90%
Real Oviedo,Dani Calvo,95%
Real Oviedo,Rahim Alhassane,90%
Real Oviedo,Alberto Reina,80%
Real Oviedo,Luka Ilic,80%
Real Oviedo,Kwasi Sibo,90%
Real Oviedo,Ilyas Chaira,80%
Real Oviedo,Haissem Hassan,80%
Real Oviedo,Salomón Rondón,50%
Real Oviedo,Aarón Escandell,80%
Real Oviedo,Federico Viñas,50%
Real Oviedo,Santi Cazorla,40%
Real Oviedo,Horatiu Moldovan,30%
Real Oviedo,Brandon Dominguès,30%
Real Oviedo,Borja Sánchez,20%
Real Oviedo,Álex Cardero,10%
Real Oviedo,Yayo González,0%
Real Oviedo,Miguel Narvaez,0%
Real Oviedo,Jaime Seoane,0%
Real Oviedo,Alex Forés,0%
Real Oviedo,Santiago Colombatto,0%
Real Oviedo,David Costas,0%
Real Oviedo,Álvaro Lemos,0%
Real Oviedo,Lucas Ahijado,0%
Real Sociedad,Orri Steinn Óskarsson,70%
Real Sociedad,Takefusa Kubo,80%
Real Sociedad,Brais Méndez,70%
Real Sociedad,Jon Aramburu,80%
Real Sociedad,Álex Remiro,95%
Real Sociedad,Beñat Turrientes,60%
Real Sociedad,Igor Zubeldia,90%
Real Sociedad,Luka Sucic,50%
Real Sociedad,Mikel Oyarzabal,70%
Real Sociedad,Jon Martín,70%
Real Sociedad,Sergio Gómez,50%
Real Sociedad,Aihen Muñoz,50%
Real Sociedad,Pablo Marín,50%
Real Sociedad,Urko González de Zarate,40%
Real Sociedad,Ander Barrenetxea,30%
Real Sociedad,Aritz Elustondo,30%
Real Sociedad,Iñaki Rupérez,20%
Real Sociedad,Jon Pacheco,10%
Real Sociedad,Unai Marrero,5%
Real Sociedad,Jon Karrikaburu,0%
Real Sociedad,Umar Sadiq,0%
Real Sociedad,Sheraldo Becker,0%
Real Sociedad,Arkaitz Mariezkurrena,0%
Real Sociedad,Arsen Zakharyan,0%
Real Sociedad,Javi López,0%
Real Sociedad,Álvaro Odriozola,0%
Real Sociedad,Hamari Traoré,0%
Real Sociedad,Gonçalo Guedes,30%
Real Sociedad,Duje Caleta-Car,30%
Real Sociedad,Carlos Fernández,0%
Real Sociedad,Jon Gorrotxategi,0%
Sevilla,Isaac Romero,50%
Sevilla,Djibril Sow,80%
Sevilla,Kike Salas,90%
Sevilla,Stanis Idumbo Muzambo,50%
Sevilla,Juanlu Sánchez,50%
Sevilla,José Ángel Carmona,80%
Sevilla,Örjan Nyland,70%
Sevilla,Andrés Castrín,50%
Sevilla,Nemanja Gudelj,50%
Sevilla,Dodi Lukebakio,90%
Sevilla,Lucien Agoume,70%
Sevilla,Marcão,40%
Sevilla,Adrià Pedrosa,30%
Sevilla,Peque,30%
Sevilla,Chidera Ejuke,20%
Sevilla,Loïc Badé,10%
Sevilla,Manu Bueno,10%
Sevilla,Akor Adams,50%
Sevilla,Rubén Vargas,50%
Sevilla,Gabriel Suazo,50%
Sevilla,Alfonso González,50%
Sevilla,Odysseas Vlachodimos,30%
Sevilla,Rafa Mir,0%
Sevilla,Kelechi Iheanacho,0%
Sevilla,Adnan Januzaj,0%
Sevilla,Joan Jordan,0%
Sevilla,Ramón Martínez,0%
Sevilla,Tanguy Nianzou,0%
Sevilla,Álvaro Fernández,0%
Valencia,Julen Agirrezabala,90%
Valencia,Hugo Duro,70%
Valencia,Daniel Raba,80%
Valencia,Diego López,80%
Valencia,Luis Rioja,90%
Valencia,Javi Guerra,90%
Valencia,Pepelu,70%
Valencia,José Gayà,95%
Valencia,José Manuel Copete,70%
Valencia,César Tárrega,90%
Valencia,Dimitri Foulquier,90%
Valencia,Filip Ugrinic,40%
Valencia,Arnaut Danjuma,40%
Valencia,Baptiste Santamaria,30%
Valencia,Mouctar Diakhaby,30%
Valencia,Eray Cömert,20%
Valencia,André Almeida,10%
Valencia,Jesús Vázquez,5%
Valencia,Stole Dimitrievski,5%
Valencia,Cristian Rivero,5%
Valencia,Sergi Canós,0%
Valencia,Hugo Guillamón,0%
Valencia,Alberto Mari,0%
Valencia,Thierry Correia,0%
Villarreal,Tajon Buchanan,50%
Villarreal,Luiz Junior,80%
Villarreal,Gerard Moreno,80%
Villarreal,Juan Foyth,95%
Villarreal,Yéremi Pino,60%
Villarreal,Santiago Mouriño,70%
Villarreal,Nicolas Pépé,80%
Villarreal,Pape Gueye,50%
Villarreal,Dani Parejo,70%
Villarreal,Sergi Cardona,90%
Villarreal,Rafa Marín,80%
Villarreal,Etta Eyong,50%
Villarreal,Alberto Moleiro,50%
Villarreal,Santi Comesaña,50%
Villarreal,Pau Navarro,45%
Villarreal,Alfonso Pedraza,30%
Villarreal,Thomas Teye,20%
Villarreal,Diego Conde,20%
Villarreal,Pau Cabanes,10%
Villarreal,Denis Suárez,10%
Villarreal,Ilias Akhomach,0%
Villarreal,Adrià Altimira,0%
Villarreal,Ayoze Pérez,0%
Villarreal,Logan Costa,0%
Villarreal,Willy Kambwala,0%
